source_url,inventory_titles,high_priority,already_cataloged_files,example_titles
https://orgm.meb.gov.tr/www/esenligi-guclendirme/icerik/3661,25,25,20,Öğrencilerde Esenliği Güçlendirme Kitapçığı | Öğrencilerde Esenliği Güçlendirme Öğretmen Kılavuzu | Öğrencilerde Esenliği Güçlendirme Veli Kılavuzu
https://orgm.meb.gov.tr/www/akran-zorbaligi/icerik/3132,31,13,15,Akran Zorbalığı Kuramsal Kitap | Akran Zorbalığı Farkındalık Programı – Okul Öncesi | Zorbalık Yapan Öğrencilere Yönelik Arkadaşlık İlişkileri Psikoeğitimi – Okul Öncesi
https://orgm.meb.gov.tr/www/sinifrehberliketkinlikleri/icerik/1952,13,13,0,Sınıf Rehberlik Etkinlikleri Seti – Okul Öncesi | Sınıf Rehberlik Etkinlikleri Seti – 1. Sınıf | Sınıf Rehberlik Etkinlikleri Seti – 2. Sınıf
https://orgm.meb.gov.tr/www/brosurler/icerik/1364,6,2,0,Siber Zorbalık Broşürü | Güvenli İnternet Kullanımı Broşürü | Siber Zorbalık Öğretmen Sunumu – İlkokul
https://orgm.meb.gov.tr/www/mesleki-rehberlik-programlari/icerik/3138,3,2,0,7 ve 8. Sınıflar İçin Kariyer Uyumunu Destekleme Psikoeğitim Programı | Kariyer Gelişimi ve Planlama Psikoeğitim Programı (KAGEP) | Okulda Bireysel Kariyer Psikolojik Danışmanlığı El Kitabı
https://orgm.meb.gov.tr/www/sosyal-duygusal-beceriler/icerik/3121,57,0,0,Rehber Öğretmen/Psikolojik Danışman Sosyal Duygusal Beceri Kitapçığı | Sosyal Duygusal Beceriler – Okul Öncesi Öğrenci Afişi | Sosyal Duygusal Beceriler – Okul Öncesi Oyun Kitabı
https://nizipram.meb.k12.tr/tema/siteharitasi.php,35,0,0,Adım Adım Üniversite | Kariyer Danışmanlığı Faaliyet Raporu | Kariyer Danışmanlığı Proje Değerlendirme Formatı
https://yenisehir33ram.meb.k12.tr/tema/siteharitasi.php,33,0,0,Danışan Kayıt Formu | Danışan Değerlendirme Formu | Aile Görüşme Formu
https://besikduzumerkezilkokulu.meb.k12.tr/icerikler/20252026egitimogretimyilirehberlikvepsikolojikdanismahizmetlerihedefcalismalari_16694974.html,32,0,0,2025-2026 Akran Zorbalığı – Okul Öncesi Afiş Serisi | 2025-2026 Akran Zorbalığı – Okul Öncesi Tek Oturumluk Sınıf Etkinliği | 2025-2026 Akran Zorbalığı – Okul Öncesi Oyun Etkinlikleri
https://orgm.meb.gov.tr/www/psikososyal-destek-dokumanlari-sayfa-1/icerik/1314/%40orgmnext,32,0,0,Psikososyal Destek Programı Uygulama Kılavuzu | Psikososyal Önleyici Destek Programı Kitabı | Psikolojik Sağlamlık Kuramsal Kitap
https://nevsehirram.meb.k12.tr/tema/siteharitasi.php,30,0,0,2026-2027 Rehberlik ve Psikolojik Danışmanlık Hizmetleri Ajandası | Karakter Güçleri Takvimi – İlkokul | Karakter Güçleri Takvimi – Ortaokul
https://aydinram.meb.k12.tr/icerikler/sinifrehberlikdosyasihazirlamaprogramimizyayimlandi_17685895.html,25,0,0,2026-2027 Sınıf Rehberlik Dosyası Hazırlama Programı | 2026-2027 Çalışma Takvimi | Öğretmen ile Görüşme Formu
https://hakkariram.meb.k12.tr/icerikler/20232024egitimogretimyilirpdhizmetleriyerelhedeficerikleri_14242352.html,25,0,0,Otokontrol – Okul Öncesi Veli Sunumu | Otokontrol – Okul Öncesi Öğrenci Masalı | Otokontrol – Okul Öncesi Sınıf Etkinliği
https://golcukram.meb.k12.tr/icerikler/rehberlikihtiyacbelirlemeanketlerininribagonderilmesi_17459085.html,19,0,0,Okul Öncesi RİBA – Öğretmen Formu | Okul Öncesi RİBA – Veli Formu | Okul Öncesi RİBA – Okul Sonuç Çizelgesi
https://giresunram.meb.k12.tr/icerikler/20232024egitimogretimyiligiresuniliyerelhedeficerikleri_14228552.html,17,0,0,Sınır Koyma – Okul Öncesi Sınıf İçi Etkinlik | Sınır Koyma – Okul Öncesi Pano Çalışması | Sınır Koyma – Okul Öncesi Broşür/Afiş
https://tusbaram.meb.k12.tr/icerikler/sinifrehberlikdokumanlari_11821299.html,17,0,0,Sınıf Rehberlik Uygulama Sunumu | Sınıf Rehberlik Dosyası Kapak ve İçerik | Sınıf Rehberlik Dosyasında Bulunması Gerekenler
https://idilram.meb.k12.tr/icerikler/ofkekontroluvestresyonetimimateryalleri_13587763.html,16,0,0,7. Sınıf Öfke ve Stres Yönetimi – 1. Hafta | 7. Sınıf Öfke ve Stres Yönetimi – 15. Hafta | 8. Sınıf Öfke ve Stres Yönetimi – 8. Hafta
https://kapakliram.meb.k12.tr/dosyalar/listele_dosya_4078422_Psikososyal%20Destek%20Hizmetleri,16,0,0,Okul Saldırılarının Ardından Veliler İçin Rehber | Okul Saldırılarının Ardından Okul İdaresi ve Öğretmenler İçin Rehber | Psikososyal Destek Veli Broşürü
https://manisaram.meb.k12.tr/tema/dosyadetay.php,16,0,0,LGS Tercih Dönemi Rehber Öğretmen/Psikolojik Danışman Eğitim Sunumu 2026 | Manisa Lise Puanları 2026 | Sosyal Beceriler – Veli Sunumu 2025
https://yalovaram.meb.k12.tr/icerikler/yerelrehberlikicerikleri_16609921.html,16,0,0,Etik Davranış – Okul Öncesi Öğrenci Etkinlik | Etik Davranış – Okul Öncesi Öğrenci Broşür | Etik Davranış – Okul Öncesi Veli Sunum
https://birecikram.meb.k12.tr/dosyalar/listele_dosya_2048900_Rehberlik%20Bro%C5%9F%C3%BCr-Pano,15,0,0,LGS Broşürü | YKS Broşürü | Erken Yaşta Evlilikler – Veli Broşürü
